POLITECNICO DI TORINO - WJPEREZH & ESANCHEZ - 2018
2-bit Multiplier Simulator

  ------------------------------------------------
  Fault Model : f0 = Fault Free
  ------------------------------------------------
FModel	 FGate 	Inputs   	Output  	Golden	Error
FM=f0	 FG=g0	B=b00 A=b00	AxB=b0000	b0000	0.00%
FM=f0	 FG=g1	B=b00 A=b00	AxB=b0000	b0000	0.00%
FM=f0	 FG=g2	B=b00 A=b00	AxB=b0000	b0000	0.00%
FM=f0	 FG=g3	B=b00 A=b00	AxB=b0000	b0000	0.00%
FM=f0	 FG=g4	B=b00 A=b00	AxB=b0000	b0000	0.00%
FM=f0	 FG=g5	B=b00 A=b00	AxB=b0000	b0000	0.00%
FM=f0	 FG=g6	B=b00 A=b00	AxB=b0000	b0000	0.00%
FM=f0	 FG=g7	B=b00 A=b00	AxB=b0000	b0000	0.00%
FM=f0	 FG=g0	B=b00 A=b01	AxB=b0000	b0000	0.00%
FM=f0	 FG=g1	B=b00 A=b01	AxB=b0000	b0000	0.00%
FM=f0	 FG=g2	B=b00 A=b01	AxB=b0000	b0000	0.00%
FM=f0	 FG=g3	B=b00 A=b01	AxB=b0000	b0000	0.00%
FM=f0	 FG=g4	B=b00 A=b01	AxB=b0000	b0000	0.00%
FM=f0	 FG=g5	B=b00 A=b01	AxB=b0000	b0000	0.00%
FM=f0	 FG=g6	B=b00 A=b01	AxB=b0000	b0000	0.00%
FM=f0	 FG=g7	B=b00 A=b01	AxB=b0000	b0000	0.00%
FM=f0	 FG=g0	B=b00 A=b10	AxB=b0000	b0000	0.00%
FM=f0	 FG=g1	B=b00 A=b10	AxB=b0000	b0000	0.00%
FM=f0	 FG=g2	B=b00 A=b10	AxB=b0000	b0000	0.00%
FM=f0	 FG=g3	B=b00 A=b10	AxB=b0000	b0000	0.00%
FM=f0	 FG=g4	B=b00 A=b10	AxB=b0000	b0000	0.00%
FM=f0	 FG=g5	B=b00 A=b10	AxB=b0000	b0000	0.00%
FM=f0	 FG=g6	B=b00 A=b10	AxB=b0000	b0000	0.00%
FM=f0	 FG=g7	B=b00 A=b10	AxB=b0000	b0000	0.00%
FM=f0	 FG=g0	B=b00 A=b11	AxB=b0000	b0000	0.00%
FM=f0	 FG=g1	B=b00 A=b11	AxB=b0000	b0000	0.00%
FM=f0	 FG=g2	B=b00 A=b11	AxB=b0000	b0000	0.00%
FM=f0	 FG=g3	B=b00 A=b11	AxB=b0000	b0000	0.00%
FM=f0	 FG=g4	B=b00 A=b11	AxB=b0000	b0000	0.00%
FM=f0	 FG=g5	B=b00 A=b11	AxB=b0000	b0000	0.00%
FM=f0	 FG=g6	B=b00 A=b11	AxB=b0000	b0000	0.00%
FM=f0	 FG=g7	B=b00 A=b11	AxB=b0000	b0000	0.00%
FM=f0	 FG=g0	B=b01 A=b00	AxB=b0000	b0000	0.00%
FM=f0	 FG=g1	B=b01 A=b00	AxB=b0000	b0000	0.00%
FM=f0	 FG=g2	B=b01 A=b00	AxB=b0000	b0000	0.00%
FM=f0	 FG=g3	B=b01 A=b00	AxB=b0000	b0000	0.00%
FM=f0	 FG=g4	B=b01 A=b00	AxB=b0000	b0000	0.00%
FM=f0	 FG=g5	B=b01 A=b00	AxB=b0000	b0000	0.00%
FM=f0	 FG=g6	B=b01 A=b00	AxB=b0000	b0000	0.00%
FM=f0	 FG=g7	B=b01 A=b00	AxB=b0000	b0000	0.00%
FM=f0	 FG=g0	B=b01 A=b01	AxB=b0001	b0001	0.00%
FM=f0	 FG=g1	B=b01 A=b01	AxB=b0001	b0001	0.00%
FM=f0	 FG=g2	B=b01 A=b01	AxB=b0001	b0001	0.00%
FM=f0	 FG=g3	B=b01 A=b01	AxB=b0001	b0001	0.00%
FM=f0	 FG=g4	B=b01 A=b01	AxB=b0001	b0001	0.00%
FM=f0	 FG=g5	B=b01 A=b01	AxB=b0001	b0001	0.00%
FM=f0	 FG=g6	B=b01 A=b01	AxB=b0001	b0001	0.00%
FM=f0	 FG=g7	B=b01 A=b01	AxB=b0001	b0001	0.00%
FM=f0	 FG=g0	B=b01 A=b10	AxB=b0010	b0010	0.00%
FM=f0	 FG=g1	B=b01 A=b10	AxB=b0010	b0010	0.00%
FM=f0	 FG=g2	B=b01 A=b10	AxB=b0010	b0010	0.00%
FM=f0	 FG=g3	B=b01 A=b10	AxB=b0010	b0010	0.00%
FM=f0	 FG=g4	B=b01 A=b10	AxB=b0010	b0010	0.00%
FM=f0	 FG=g5	B=b01 A=b10	AxB=b0010	b0010	0.00%
FM=f0	 FG=g6	B=b01 A=b10	AxB=b0010	b0010	0.00%
FM=f0	 FG=g7	B=b01 A=b10	AxB=b0010	b0010	0.00%
FM=f0	 FG=g0	B=b01 A=b11	AxB=b0011	b0011	0.00%
FM=f0	 FG=g1	B=b01 A=b11	AxB=b0011	b0011	0.00%
FM=f0	 FG=g2	B=b01 A=b11	AxB=b0011	b0011	0.00%
FM=f0	 FG=g3	B=b01 A=b11	AxB=b0011	b0011	0.00%
FM=f0	 FG=g4	B=b01 A=b11	AxB=b0011	b0011	0.00%
FM=f0	 FG=g5	B=b01 A=b11	AxB=b0011	b0011	0.00%
FM=f0	 FG=g6	B=b01 A=b11	AxB=b0011	b0011	0.00%
FM=f0	 FG=g7	B=b01 A=b11	AxB=b0011	b0011	0.00%
FM=f0	 FG=g0	B=b10 A=b00	AxB=b0000	b0000	0.00%
FM=f0	 FG=g1	B=b10 A=b00	AxB=b0000	b0000	0.00%
FM=f0	 FG=g2	B=b10 A=b00	AxB=b0000	b0000	0.00%
FM=f0	 FG=g3	B=b10 A=b00	AxB=b0000	b0000	0.00%
FM=f0	 FG=g4	B=b10 A=b00	AxB=b0000	b0000	0.00%
FM=f0	 FG=g5	B=b10 A=b00	AxB=b0000	b0000	0.00%
FM=f0	 FG=g6	B=b10 A=b00	AxB=b0000	b0000	0.00%
FM=f0	 FG=g7	B=b10 A=b00	AxB=b0000	b0000	0.00%
FM=f0	 FG=g0	B=b10 A=b01	AxB=b0010	b0010	0.00%
FM=f0	 FG=g1	B=b10 A=b01	AxB=b0010	b0010	0.00%
FM=f0	 FG=g2	B=b10 A=b01	AxB=b0010	b0010	0.00%
FM=f0	 FG=g3	B=b10 A=b01	AxB=b0010	b0010	0.00%
FM=f0	 FG=g4	B=b10 A=b01	AxB=b0010	b0010	0.00%
FM=f0	 FG=g5	B=b10 A=b01	AxB=b0010	b0010	0.00%
FM=f0	 FG=g6	B=b10 A=b01	AxB=b0010	b0010	0.00%
FM=f0	 FG=g7	B=b10 A=b01	AxB=b0010	b0010	0.00%
FM=f0	 FG=g0	B=b10 A=b10	AxB=b0100	b0100	0.00%
FM=f0	 FG=g1	B=b10 A=b10	AxB=b0100	b0100	0.00%
FM=f0	 FG=g2	B=b10 A=b10	AxB=b0100	b0100	0.00%
FM=f0	 FG=g3	B=b10 A=b10	AxB=b0100	b0100	0.00%
FM=f0	 FG=g4	B=b10 A=b10	AxB=b0100	b0100	0.00%
FM=f0	 FG=g5	B=b10 A=b10	AxB=b0100	b0100	0.00%
FM=f0	 FG=g6	B=b10 A=b10	AxB=b0100	b0100	0.00%
FM=f0	 FG=g7	B=b10 A=b10	AxB=b0100	b0100	0.00%
FM=f0	 FG=g0	B=b10 A=b11	AxB=b0110	b0110	0.00%
FM=f0	 FG=g1	B=b10 A=b11	AxB=b0110	b0110	0.00%
FM=f0	 FG=g2	B=b10 A=b11	AxB=b0110	b0110	0.00%
FM=f0	 FG=g3	B=b10 A=b11	AxB=b0110	b0110	0.00%
FM=f0	 FG=g4	B=b10 A=b11	AxB=b0110	b0110	0.00%
FM=f0	 FG=g5	B=b10 A=b11	AxB=b0110	b0110	0.00%
FM=f0	 FG=g6	B=b10 A=b11	AxB=b0110	b0110	0.00%
FM=f0	 FG=g7	B=b10 A=b11	AxB=b0110	b0110	0.00%
FM=f0	 FG=g0	B=b11 A=b00	AxB=b0000	b0000	0.00%
FM=f0	 FG=g1	B=b11 A=b00	AxB=b0000	b0000	0.00%
FM=f0	 FG=g2	B=b11 A=b00	AxB=b0000	b0000	0.00%
FM=f0	 FG=g3	B=b11 A=b00	AxB=b0000	b0000	0.00%
FM=f0	 FG=g4	B=b11 A=b00	AxB=b0000	b0000	0.00%
FM=f0	 FG=g5	B=b11 A=b00	AxB=b0000	b0000	0.00%
FM=f0	 FG=g6	B=b11 A=b00	AxB=b0000	b0000	0.00%
FM=f0	 FG=g7	B=b11 A=b00	AxB=b0000	b0000	0.00%
FM=f0	 FG=g0	B=b11 A=b01	AxB=b0011	b0011	0.00%
FM=f0	 FG=g1	B=b11 A=b01	AxB=b0011	b0011	0.00%
FM=f0	 FG=g2	B=b11 A=b01	AxB=b0011	b0011	0.00%
FM=f0	 FG=g3	B=b11 A=b01	AxB=b0011	b0011	0.00%
FM=f0	 FG=g4	B=b11 A=b01	AxB=b0011	b0011	0.00%
FM=f0	 FG=g5	B=b11 A=b01	AxB=b0011	b0011	0.00%
FM=f0	 FG=g6	B=b11 A=b01	AxB=b0011	b0011	0.00%
FM=f0	 FG=g7	B=b11 A=b01	AxB=b0011	b0011	0.00%
FM=f0	 FG=g0	B=b11 A=b10	AxB=b0110	b0110	0.00%
FM=f0	 FG=g1	B=b11 A=b10	AxB=b0110	b0110	0.00%
FM=f0	 FG=g2	B=b11 A=b10	AxB=b0110	b0110	0.00%
FM=f0	 FG=g3	B=b11 A=b10	AxB=b0110	b0110	0.00%
FM=f0	 FG=g4	B=b11 A=b10	AxB=b0110	b0110	0.00%
FM=f0	 FG=g5	B=b11 A=b10	AxB=b0110	b0110	0.00%
FM=f0	 FG=g6	B=b11 A=b10	AxB=b0110	b0110	0.00%
FM=f0	 FG=g7	B=b11 A=b10	AxB=b0110	b0110	0.00%
FM=f0	 FG=g0	B=b11 A=b11	AxB=b1001	b1001	0.00%
FM=f0	 FG=g1	B=b11 A=b11	AxB=b1001	b1001	0.00%
FM=f0	 FG=g2	B=b11 A=b11	AxB=b1001	b1001	0.00%
FM=f0	 FG=g3	B=b11 A=b11	AxB=b1001	b1001	0.00%
FM=f0	 FG=g4	B=b11 A=b11	AxB=b1001	b1001	0.00%
FM=f0	 FG=g5	B=b11 A=b11	AxB=b1001	b1001	0.00%
FM=f0	 FG=g6	B=b11 A=b11	AxB=b1001	b1001	0.00%
FM=f0	 FG=g7	B=b11 A=b11	AxB=b1001	b1001	0.00%

  ------------------------------------------------
  Fault Model : f1 = S@0 at input X of the faulty gate
  ------------------------------------------------
FModel	 FGate 	Inputs   	Output  	Golden	Error
FM=f1	 FG=g0	B=b00 A=b00	AxB=b0000	b0000	0.00%
FM=f1	 FG=g1	B=b00 A=b00	AxB=b0000	b0000	0.00%
FM=f1	 FG=g2	B=b00 A=b00	AxB=b0000	b0000	0.00%
FM=f1	 FG=g3	B=b00 A=b00	AxB=b0000	b0000	0.00%
FM=f1	 FG=g4	B=b00 A=b00	AxB=b0000	b0000	0.00%
FM=f1	 FG=g5	B=b00 A=b00	AxB=b0000	b0000	0.00%
FM=f1	 FG=g6	B=b00 A=b00	AxB=b0000	b0000	0.00%
FM=f1	 FG=g7	B=b00 A=b00	AxB=b0000	b0000	0.00%
FM=f1	 FG=g0	B=b00 A=b01	AxB=b0000	b0000	0.00%
FM=f1	 FG=g1	B=b00 A=b01	AxB=b0000	b0000	0.00%
FM=f1	 FG=g2	B=b00 A=b01	AxB=b0000	b0000	0.00%
FM=f1	 FG=g3	B=b00 A=b01	AxB=b0000	b0000	0.00%
FM=f1	 FG=g4	B=b00 A=b01	AxB=b0000	b0000	0.00%
FM=f1	 FG=g5	B=b00 A=b01	AxB=b0000	b0000	0.00%
FM=f1	 FG=g6	B=b00 A=b01	AxB=b0000	b0000	0.00%
FM=f1	 FG=g7	B=b00 A=b01	AxB=b0000	b0000	0.00%
FM=f1	 FG=g0	B=b00 A=b10	AxB=b0000	b0000	0.00%
FM=f1	 FG=g1	B=b00 A=b10	AxB=b0000	b0000	0.00%
FM=f1	 FG=g2	B=b00 A=b10	AxB=b0000	b0000	0.00%
FM=f1	 FG=g3	B=b00 A=b10	AxB=b0000	b0000	0.00%
FM=f1	 FG=g4	B=b00 A=b10	AxB=b0000	b0000	0.00%
FM=f1	 FG=g5	B=b00 A=b10	AxB=b0000	b0000	0.00%
FM=f1	 FG=g6	B=b00 A=b10	AxB=b0000	b0000	0.00%
FM=f1	 FG=g7	B=b00 A=b10	AxB=b0000	b0000	0.00%
FM=f1	 FG=g0	B=b00 A=b11	AxB=b0000	b0000	0.00%
FM=f1	 FG=g1	B=b00 A=b11	AxB=b0000	b0000	0.00%
FM=f1	 FG=g2	B=b00 A=b11	AxB=b0000	b0000	0.00%
FM=f1	 FG=g3	B=b00 A=b11	AxB=b0000	b0000	0.00%
FM=f1	 FG=g4	B=b00 A=b11	AxB=b0000	b0000	0.00%
FM=f1	 FG=g5	B=b00 A=b11	AxB=b0000	b0000	0.00%
FM=f1	 FG=g6	B=b00 A=b11	AxB=b0000	b0000	0.00%
FM=f1	 FG=g7	B=b00 A=b11	AxB=b0000	b0000	0.00%
FM=f1	 FG=g0	B=b01 A=b00	AxB=b0000	b0000	0.00%
FM=f1	 FG=g1	B=b01 A=b00	AxB=b0000	b0000	0.00%
FM=f1	 FG=g2	B=b01 A=b00	AxB=b0000	b0000	0.00%
FM=f1	 FG=g3	B=b01 A=b00	AxB=b0000	b0000	0.00%
FM=f1	 FG=g4	B=b01 A=b00	AxB=b0000	b0000	0.00%
FM=f1	 FG=g5	B=b01 A=b00	AxB=b0000	b0000	0.00%
FM=f1	 FG=g6	B=b01 A=b00	AxB=b0000	b0000	0.00%
FM=f1	 FG=g7	B=b01 A=b00	AxB=b0000	b0000	0.00%
FM=f1	 FG=g0	B=b01 A=b01	AxB=b0000	b0001	6.67%
FM=f1	 FG=g1	B=b01 A=b01	AxB=b0001	b0001	0.00%
FM=f1	 FG=g2	B=b01 A=b01	AxB=b0001	b0001	0.00%
FM=f1	 FG=g3	B=b01 A=b01	AxB=b0001	b0001	0.00%
FM=f1	 FG=g4	B=b01 A=b01	AxB=b0001	b0001	0.00%
FM=f1	 FG=g5	B=b01 A=b01	AxB=b0001	b0001	0.00%
FM=f1	 FG=g6	B=b01 A=b01	AxB=b0001	b0001	0.00%
FM=f1	 FG=g7	B=b01 A=b01	AxB=b0001	b0001	0.00%
FM=f1	 FG=g0	B=b01 A=b10	AxB=b0010	b0010	0.00%
FM=f1	 FG=g1	B=b01 A=b10	AxB=b0000	b0010	13.33%
FM=f1	 FG=g2	B=b01 A=b10	AxB=b0010	b0010	0.00%
FM=f1	 FG=g3	B=b01 A=b10	AxB=b0010	b0010	0.00%
FM=f1	 FG=g4	B=b01 A=b10	AxB=b0010	b0010	0.00%
FM=f1	 FG=g5	B=b01 A=b10	AxB=b0010	b0010	0.00%
FM=f1	 FG=g6	B=b01 A=b10	AxB=b0010	b0010	0.00%
FM=f1	 FG=g7	B=b01 A=b10	AxB=b0010	b0010	0.00%
FM=f1	 FG=g0	B=b01 A=b11	AxB=b0010	b0011	6.67%
FM=f1	 FG=g1	B=b01 A=b11	AxB=b0001	b0011	13.33%
FM=f1	 FG=g2	B=b01 A=b11	AxB=b0011	b0011	0.00%
